--step-length 0.1 --lateral-resolution 0.8 -c /home/levente/Egyetem/7_felev/szakdoga/BAH/BAH0_smart.sumocfg --collision.action=warn --duration-log.statisticsRR.txt
Loading configuration... done.
Loading net-file from '/home/levente/Egyetem/7_felev/szakdoga/BAH/BAH0_smart.net.xml'... done (52ms).
Loading done.
Simulation started with time: 0.00
Step #0.00 (4ms ~= 25.00*RT, ~8750.00UPS, vehicles TOT 35 ACT 35 BUF 2)       
Step #0.10 (1ms ~= 100.00*RT, ~35000.00UPS, vehicles TOT 35 ACT 35 BUF 2)     
Step #0.20 (0ms ?*RT. ?UPS, vehicles TOT 35 ACT 35 BUF 2)                     
Step #0.30 (3ms ~= 33.33*RT, ~11666.67UPS, vehicles TOT 35 ACT 35 BUF 2)      
Step #0.40 (2ms ~= 50.00*RT, ~17500.00UPS, vehicles TOT 35 ACT 35 BUF 2)      
Step #0.50 (1ms ~= 100.00*RT, ~35000.00UPS, vehicles TOT 35 ACT 35 BUF 2)     
Step #3.60 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #3.70 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #3.80 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #3.90 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #4.00 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #4.10 (9ms ~= 11.11*RT, ~4111.11UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #4.20 (5ms ~= 20.00*RT, ~7400.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #4.30 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #4.40 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #4.50 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #4.60 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #4.70 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #4.80 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #4.90 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #5.00 (5ms ~= 20.00*RT, ~7400.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #5.10 (8ms ~= 12.50*RT, ~4625.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #5.20 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #5.30 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #5.40 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #5.50 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #5.60 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #5.70 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #5.80 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #5.90 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #6.00 (6ms ~= 16.67*RT, ~6166.67UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #6.10 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #6.20 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #6.30 (5ms ~= 20.00*RT, ~7400.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #6.40 (9ms ~= 11.11*RT, ~4111.11UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #6.50 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #6.60 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #6.70 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #6.80 (8ms ~= 12.50*RT, ~4625.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #6.90 (11ms ~= 9.09*RT, ~3363.64UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #7.00 (10ms ~= 10.00*RT, ~3700.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #7.10 (9ms ~= 11.11*RT, ~4111.11UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #7.20 (17ms ~= 5.88*RT, ~2176.47UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #7.30 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #7.40 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #7.50 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #7.60 (22ms ~= 4.55*RT, ~1681.82UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #7.70 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #7.80 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #7.90 (10ms ~= 10.00*RT, ~3700.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #8.00 (11ms ~= 9.09*RT, ~3363.64UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #8.10 (17ms ~= 5.88*RT, ~2176.47UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #8.20 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #8.30 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #8.40 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)       
Step #8.50 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #8.60 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #8.70 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #8.80 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #8.90 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #9.00 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #9.10 (3ms ~= 33.33*RT, ~12333.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #9.20 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #9.30 (1ms ~= 100.00*RT, ~37000.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #9.40 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #9.50 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #9.60 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #9.70 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #9.80 (10ms ~= 10.00*RT, ~3700.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #9.90 (10ms ~= 10.00*RT, ~3700.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #10.00 (16ms ~= 6.25*RT, ~2312.50UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #10.10 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #10.20 (5ms ~= 20.00*RT, ~7400.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #10.30 (5ms ~= 20.00*RT, ~7400.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #10.40 (14ms ~= 7.14*RT, ~2642.86UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #10.50 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #10.60 (15ms ~= 6.67*RT, ~2466.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #10.70 (9ms ~= 11.11*RT, ~4111.11UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #10.80 (10ms ~= 10.00*RT, ~3700.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #10.90 (16ms ~= 6.25*RT, ~2312.50UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #11.00 (11ms ~= 9.09*RT, ~3363.64UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #11.10 (8ms ~= 12.50*RT, ~4625.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #11.20 (13ms ~= 7.69*RT, ~2846.15UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #11.30 (6ms ~= 16.67*RT, ~6166.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #11.40 (2ms ~= 50.00*RT, ~18500.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #11.50 (10ms ~= 10.00*RT, ~3700.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #11.60 (10ms ~= 10.00*RT, ~3700.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #11.70 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #11.80 (13ms ~= 7.69*RT, ~2846.15UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #11.90 (8ms ~= 12.50*RT, ~4625.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #12.00 (10ms ~= 10.00*RT, ~3700.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #12.10 (8ms ~= 12.50*RT, ~4625.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #12.20 (11ms ~= 9.09*RT, ~3363.64UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #12.30 (14ms ~= 7.14*RT, ~2642.86UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #12.40 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #12.50 (11ms ~= 9.09*RT, ~3363.64UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #12.60 (15ms ~= 6.67*RT, ~2466.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #12.70 (6ms ~= 16.67*RT, ~6166.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #12.80 (11ms ~= 9.09*RT, ~3363.64UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #12.90 (27ms ~= 3.70*RT, ~1370.37UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #13.00 (10ms ~= 10.00*RT, ~3700.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #13.10 (13ms ~= 7.69*RT, ~2846.15UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #13.20 (11ms ~= 9.09*RT, ~3363.64UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #13.30 (18ms ~= 5.56*RT, ~2055.56UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #13.40 (11ms ~= 9.09*RT, ~3363.64UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #13.50 (6ms ~= 16.67*RT, ~6166.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #13.60 (6ms ~= 16.67*RT, ~6166.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #13.70 (17ms ~= 5.88*RT, ~2176.47UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #13.80 (5ms ~= 20.00*RT, ~7400.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #13.90 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #14.00 (5ms ~= 20.00*RT, ~7400.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #14.10 (18ms ~= 5.56*RT, ~2055.56UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #14.20 (5ms ~= 20.00*RT, ~7400.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #14.30 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #14.40 (5ms ~= 20.00*RT, ~7400.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #14.50 (19ms ~= 5.26*RT, ~1947.37UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #14.60 (18ms ~= 5.56*RT, ~2055.56UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #14.70 (22ms ~= 4.55*RT, ~1681.82UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #14.80 (18ms ~= 5.56*RT, ~2055.56UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #14.90 (6ms ~= 16.67*RT, ~6166.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #15.00 (19ms ~= 5.26*RT, ~1947.37UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #15.10SAL_carflow14.0 has left junction 
 (21ms ~= 4.76*RT, ~1761.90UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #15.20 (18ms ~= 5.56*RT, ~2055.56UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #15.30 (17ms ~= 5.88*RT, ~2176.47UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #15.40 (8ms ~= 12.50*RT, ~4625.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #15.50 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #15.60 (6ms ~= 16.67*RT, ~6166.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #15.70 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #15.80 (16ms ~= 6.25*RT, ~2312.50UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #15.90 (5ms ~= 20.00*RT, ~7400.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #16.00 (6ms ~= 16.67*RT, ~6166.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #16.10 (21ms ~= 4.76*RT, ~1761.90UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #16.20 (24ms ~= 4.17*RT, ~1541.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #16.30 (8ms ~= 12.50*RT, ~4625.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #16.40 (20ms ~= 5.00*RT, ~1850.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #16.50 (28ms ~= 3.57*RT, ~1321.43UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #16.60 (9ms ~= 11.11*RT, ~4111.11UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #16.70 (30ms ~= 3.33*RT, ~1233.33UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #16.80 (24ms ~= 4.17*RT, ~1541.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #16.90 (26ms ~= 3.85*RT, ~1423.08UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #17.00 (20ms ~= 5.00*RT, ~1850.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #17.10 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #17.20 (17ms ~= 5.88*RT, ~2176.47UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #17.30 (8ms ~= 12.50*RT, ~4625.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #17.40 (6ms ~= 16.67*RT, ~6166.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #17.50 (21ms ~= 4.76*RT, ~1761.90UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #17.60 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #17.70 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #17.80 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #17.90 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #18.00 (19ms ~= 5.26*RT, ~1947.37UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #18.10 (8ms ~= 12.50*RT, ~4625.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #18.20 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #18.30 (9ms ~= 11.11*RT, ~4111.11UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #18.40 (16ms ~= 6.25*RT, ~2312.50UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #18.50 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #18.60 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #18.70 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #18.80 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #18.90 (18ms ~= 5.56*RT, ~2055.56UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #19.00 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #19.10 (10ms ~= 10.00*RT, ~3700.00UPS, vehicles TOT 37 ACT 37 BUF 0)     
Step #19.20 (18ms ~= 5.56*RT, ~2055.56UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #19.30 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #19.40 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #19.50 (8ms ~= 12.50*RT, ~4625.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #19.60 (7ms ~= 14.29*RT, ~5285.71UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #19.70 (17ms ~= 5.88*RT, ~2176.47UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #19.80 (6ms ~= 16.67*RT, ~6166.67UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #19.90 (4ms ~= 25.00*RT, ~9250.00UPS, vehicles TOT 37 ACT 37 BUF 0)      
Step #20.00 (5ms ~= 20.00*RT, ~7600.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #20.10 (9ms ~= 11.11*RT, ~4222.22UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #20.20 (11ms ~= 9.09*RT, ~3454.55UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #20.30 (4ms ~= 25.00*RT, ~9500.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #20.40 (4ms ~= 25.00*RT, ~9500.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #20.50 (4ms ~= 25.00*RT, ~9500.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #20.60 (5ms ~= 20.00*RT, ~7600.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #20.70 (6ms ~= 16.67*RT, ~6333.33UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #20.80 (5ms ~= 20.00*RT, ~7600.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #20.90 (9ms ~= 11.11*RT, ~4222.22UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #21.00 (11ms ~= 9.09*RT, ~3454.55UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #21.10 (4ms ~= 25.00*RT, ~9500.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #21.20 (4ms ~= 25.00*RT, ~9500.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #21.30 (5ms ~= 20.00*RT, ~7600.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #21.40 (14ms ~= 7.14*RT, ~2714.29UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #21.50 (7ms ~= 14.29*RT, ~5428.57UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #21.60 (4ms ~= 25.00*RT, ~9500.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #21.70SAL_carflow15.0 has left junction 
 (4ms ~= 25.00*RT, ~9500.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #21.80 (4ms ~= 25.00*RT, ~9500.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #21.90 (5ms ~= 20.00*RT, ~7600.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #22.00 (5ms ~= 20.00*RT, ~7600.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #22.10 (5ms ~= 20.00*RT, ~7600.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #22.20 (5ms ~= 20.00*RT, ~7600.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #22.30 (15ms ~= 6.67*RT, ~2533.33UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #22.40 (5ms ~= 20.00*RT, ~7600.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #22.50 (5ms ~= 20.00*RT, ~7600.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #22.60 (6ms ~= 16.67*RT, ~6333.33UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #22.70 (20ms ~= 5.00*RT, ~1900.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #22.80 (22ms ~= 4.55*RT, ~1727.27UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #22.90 (6ms ~= 16.67*RT, ~6333.33UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #23.00 (6ms ~= 16.67*RT, ~6333.33UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #23.10 (16ms ~= 6.25*RT, ~2375.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #23.20 (20ms ~= 5.00*RT, ~1900.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #23.30 (23ms ~= 4.35*RT, ~1652.17UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #23.40 (9ms ~= 11.11*RT, ~4222.22UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #23.50 (7ms ~= 14.29*RT, ~5428.57UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #23.60 (6ms ~= 16.67*RT, ~6333.33UPS, vehicles TOT 38 ACT 38 BUF 0)      
Step #23.70 (16ms ~= 6.25*RT, ~2375.00UPS, vehicles TOT 38 ACT 38 BUF 0)      
